,seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
0,1,S100FJLQ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
1,2,S100FKXL,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2,3,S100G04A,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
3,4,S100FJDX,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
4,5,S100G013,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
5,6,S100FV5K,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08747,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:02,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
6,7,S100FZ7D,E06748,,2010001049257.0,大和証券投資信託委託株式会社,G12509,30.0,04A001,40.0,,,2019-06-17 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100EUFM,,0,0,0,1,1,0,0
7,8,S100FUVI,E12448,,8010401040306.0,明治安田アセットマネジメント株式会社,G12983,30.0,10A000,160.0,2018-09-19,2019-09-18,2019-06-17 09:02,半期報告書（内国投資信託受益証券）－第2期(平成30年9月19日－令和1年9月18日),,,,,,,0,0,0,1,1,0,0
8,9,S100FKXJ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
9,10,S100FT9F,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G12481,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:02,有価証券報告書（内国投資信託受益証券）－第4期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
10,11,S100FVHK,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G12585,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:02,有価証券報告書（内国投資信託受益証券）－第3期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
11,12,S100FV0B,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G09119,30.0,04A000,30.0,,,2019-06-17 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
12,13,S100FJHS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
13,14,S100FV5G,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08747,30.0,04A000,30.0,,,2019-06-17 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
14,15,S100FUVK,E12448,,8010401040306.0,明治安田アセットマネジメント株式会社,G12983,30.0,04A000,30.0,,,2019-06-17 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
15,16,S100FYTU,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G01164,30.0,04A000,30.0,,,2019-06-17 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
16,17,S100FY00,E32021,,,グローバル・オポチュニティーズ・アクセス,G11467,30.0,04D001,40.0,,,2019-06-17 09:03,訂正有価証券届出書（外国投資証券）,,,,,S100EYY1,,0,0,0,0,1,0,0
17,18,S100FT9H,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G12481,30.0,04A000,30.0,,,2019-06-17 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
18,19,S100FXTE,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G10648,30.0,04A000,30.0,,,2019-06-17 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
19,20,S100FJLP,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20,21,S100FYU3,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G01164,30.0,10A000,160.0,2018-09-21,2019-09-20,2019-06-17 09:04,半期報告書（内国投資信託受益証券）－第20期(平成30年9月21日－令和1年9月20日),,,,,,,0,0,0,1,1,0,0
