0,その他製品,Other Products
1,その他金融業,Other Financing Business
2,ガラス・土石製品,Glass and Ceramics Products
3,ゴム製品,Rubber Products
4,サービス業,Services
5,パルプ・紙,Pulp and Paper
6,不動産業,Real Estate
7,保険業,Insurance
8,倉庫・運輸関連,Warehousing and Harbor Transportation
9,化学,Chemicals
10,医薬品,Pharmaceutical
11,卸売業,Wholesale Trade
12,外国法人・組合,Foreign Corporation or Union
13,小売業,Retail Trade
14,建設業,Construction
15,情報・通信業,Information & Communication
16,機械,Machinery
17,水産・農林業,"Fishery, Agriculture & Forestry"
18,海運業,Marine Transportation
19,石油・石炭製品,Oil and Coal Products
20,空運業,Air Transportation
21,精密機器,Precision Instruments
22,繊維製品,Textiles and Apparels
23,証券、商品先物取引業,Securities and Commodities Futures
24,輸送用機器,Transportation Equipment
25,金属製品,Metal Products
26,鉄鋼,Iron and Steel
27,鉱業,Mining
28,銀行業,Banks
29,陸運業,Land Transportation
30,電気・ガス業,Electric Power and Gas
31,電気機器,Electric Appliances
32,非鉄金属,Nonferrous Metals
33,食料品,Foods
