,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
CP利息_up, debit, CP利息、営業費用、特定金融業, Interest on commercial papers-OE-SPF, Interest on commercial papers, CP利息,tomato
ETCマイレージサービス引当金_up, credit, ETCマイレージサービス引当金、固定負債、高速道路事業, Provision for ETC mileage service-NCL-HWY, Provision for ETC mileage service, ETCマイレージサービス引当金,tomato
じゅう器備品_up, debit, じゅう器備品、有形固定資産、建設保証業, Furniture and equipment-PPE-CNA, Furniture and equipment, じゅう器備品,tomato
じゅう器備品（純額）_up, debit, じゅう器備品（純額）、有形固定資産、建設保証業," Furniture and equipment, net-PPE-CNA"," Furniture and equipment, net", じゅう器備品（純額）,tomato
その他、その他の金融収益、特定金融業_up, credit, その他、その他の金融収益、特定金融業, Other-other financial revenue-SPF, Other-other financial revenue-SPF, その他、その他の金融収益、特定金融業,tomato
その他、事業外収益、学校法人_up, credit, その他、事業外収益、学校法人, Other-NOI-EDU, Other-NOI-EDU, その他、事業外収益、学校法人,tomato
その他、事業外費用、学校法人_up, debit, その他、事業外費用、学校法人, Other-NOE-EDU, Other-NOE-EDU, その他、事業外費用、学校法人,tomato
その他、事業経費、建設保証業_up, debit, その他、事業経費、建設保証業, Other-OE-CNA, Other-OE-CNA, その他、事業経費、建設保証業,tomato
その他、営業収益、商品先物取引業_up, credit, その他、営業収益、商品先物取引業, Other operating revenue-CMD, Other operating revenue-CMD, その他、営業収益、商品先物取引業,tomato
その他、営業収益、建設保証業_up, credit, その他、営業収益、建設保証業, Other-OR-CNA, Other-OR-CNA, その他、営業収益、建設保証業,tomato
その他、営業外収益_up, credit, その他、営業外収益, Other-NOI, Other-NOI, その他、営業外収益,tomato
その他、営業外費用_up, debit, その他、営業外費用, Other-NOE, Other-NOE, その他、営業外費用,tomato
その他、営業活動による収益_up, credit, その他、営業活動による収益, Other-RevOA, Other-RevOA, その他、営業活動による収益,tomato
その他、営業活動による費用・売上原価_up, debit, その他、営業活動による費用・売上原価, Other-COSExpOA, Other-COSExpOA, その他、営業活動による費用・売上原価,tomato
その他、営業費用、特定金融業_up, debit, その他、営業費用、特定金融業, Other-OE-SPF, Other-OE-SPF, その他、営業費用、特定金融業,tomato
その他、固定負債_up, credit, その他、固定負債, Other-NCL, Other-NCL, その他、固定負債,tomato
その他、固定資産、学校法人_up, debit, その他、固定資産、学校法人, Other-NCA-EDU, Other-NCA-EDU, その他、固定資産、学校法人,tomato
その他、建設仮勘定、鉄道事業_up, debit, その他、建設仮勘定、鉄道事業, Construction in progress-other-RWY, Construction in progress-other-RWY, その他、建設仮勘定、鉄道事業,tomato
その他、投資その他の資産_up, debit, その他、投資その他の資産, Other-IOA, Other-IOA, その他、投資その他の資産,tomato
その他、教育研究・附属事業収益、学校法人_up, credit, その他、教育研究・附属事業収益、学校法人," Other-revenue-education, research and incidental-EDU"," Other-revenue-education, research and incidental-EDU", その他、教育研究・附属事業収益、学校法人,tomato
